"kind","etag","items__kind","items__etag","items__id","items__snippet__title","items__snippet__assignable","items__snippet__channelId"
"youtube#videoCategoryListResponse","QteLrrS_X7rM7rlcU_e7qa0embQ","youtube#videoCategory","grPOPYEUUZN3ltuDUGEWlrTR90U","1","Film & Animation","True","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","Q0xgUf8BFM8rW3W0R9wNq809xyA","2","Autos & Vehicles","True","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","qnpwjh5QlWM5hrnZCvHisquztC4","10","Music","True","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","HyFIixS5BZaoBdkQdLzPdoXWipg","15","Pets & Animals","True","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","PNU8SwXhjsF90fmkilVohofOi4I","17","Sports","True","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","5kFljz9YJ4lEgSfVwHWi5kTAwAs","18","Short Movies","False","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","ANnLQyzEA_9m3bMyJXMhKTCOiyg","19","Travel & Events","True","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","0Hh6gbZ9zWjnV3sfdZjKB5LQr6E","20","Gaming","True","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","q8Cp4pUfCD8Fuh8VJ_yl5cBCVNw","21","Videoblogging","False","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","cHDaaqPDZsJT1FPr1-MwtyIhR28","22","People & Blogs","True","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","3Uz364xBbKY50a2s0XQlv-gXJds","23","Comedy","True","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","0srcLUqQzO7-NGLF7QnhdVzJQmY","24","Entertainment","True","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","bQlQMjmYX7DyFkX4w3kT0osJyIc","25","News & Politics","True","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","Y06N41HP_WlZmeREZvkGF0HW5pg","26","Howto & Style","True","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","yBaNkLx4sX9NcDmFgAmxQcV4Y30","27","Education","True","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","Mxy3A-SkmnR7MhJDZRS4DuAIbQA","28","Science & Technology","True","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","p3lEirEJApyEkuWpaGEHoF-m-aA","29","Nonprofits & Activism","True","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","4pIHL_AdN2kO7btAGAP1TvPucNk","30","Movies","False","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","Iqol1myDwh2AuOnxjtn2AfYwJTU","31","Anime/Animation","False","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","tzhBKCBcYWZLPai5INY4id91ss8","32","Action/Adventure","False","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","ii8nBGYpKyl6FyzP3cmBCevdrbs","33","Classics","False","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","Y0u9UAQCCGp60G11Arac5Mp46z4","34","Comedy","False","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","_YDnyT205AMuX8etu8loOiQjbD4","35","Documentary","False","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","eAl2b-uqIGRDgnlMa0EsGZjXmWg","36","Drama","False","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","HDAW2HFOt3SqeDI00X-eL7OELfY","37","Family","False","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","QHiWh3niw5hjDrim85M8IGF45eE","38","Foreign","False","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","ztKcSS7GpH9uEyZk9nQCdNujvGg","39","Horror","False","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","Ids1sm8QFeSo_cDlpcUNrnEBYWA","40","Sci-Fi/Fantasy","False","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","qhfgS7MzzZHIy_UZ1dlawl1GbnY","41","Thriller","False","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","TxVSfGoUyT7CJ7h7ebjg4vhIt6g","42","Shorts","False","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","o9w6eNqzjHPnNbKDujnQd8pklXM","43","Shows","False","UCBR8-60-B28hp2BmDPdntcQ"
"","","youtube#videoCategory","mLdyKd0VgXKDI6GevTLBAcvRlIU","44","Trailers","False","UCBR8-60-B28hp2BmDPdntcQ"
